Sweet and sour pork stir-fry: Add the pork and stir to coat.	Sweet and sour pork stir-fry: Add the chicken breast and stir to coat.	Sweet and sour pork stir-fry: Add the brown rice syrup and stir to coat.
Crispy Gnocchi with Roasted Peppers Chilli Rosemary and Ricotta: Tip the gnocchi into a roasting tin along with everything except the ricotta.	Crispy Gnocchi with Roasted Peppers Chilli Rosemary and Ricotta: Tip the gnocchi into a roasting tin along with everything except the vegan ricotta (tofu based).	Crispy Gnocchi with Roasted Peppers Chilli Rosemary and Ricotta: Tip the gnocchi into a roasting tin along with everything except the syrup.
Crispy Sesame Chicken with a Sticky Asian Sauce: Add the chicken back in and toss in the sauce to coat.	Crispy Sesame Chicken with a Sticky Asian Sauce: Add the use courgettes and other veg instead. can make them crispy and fry.  back in and toss in the sauce to coat.	Crispy Sesame Chicken with a Sticky Asian Sauce: Add the five-spice back in and toss in the sauce to coat.
Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g lean minced beef.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g quorn mince.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g skate.
Saucy miso mushrooms with udon noodles: About 5 mins before the mushrooms are ready heat the remaining oil in a wok stir-fry the noodles until hot through then divide between 4 bowls.	Saucy miso mushrooms with udon noodles: About 5 mins before the mushrooms are ready heat the remaining oil in a wok stir-fry the another type of noodle like egg noodles  until hot through then divide between 4 bowls.	Saucy miso mushrooms with udon noodles: About 5 mins before the mushrooms are ready heat the remaining oil in a wok stir-fry the cabbage until hot through then divide between 4 bowls.
BBQ Chicken Wings: Whilst the wings are baking make the barbecue sauce.	BBQ Chicken Wings: Whilst the cauliflower are baking make the barbecue sauce.	BBQ Chicken Wings: Whilst the salsa are baking make the barbecue sauce.
Lentil Bolognese: Stir in tomato paste and cook stirring it in for 1 minutes.	Lentil Bolognese: Stir in passata paste and cook stirring it in for 1 minutes.	Lentil Bolognese: Stir in cod roe paste and cook stirring it in for 1 minutes.
Lentil Bolognese: Stir in lentils and water.	Lentil Bolognese: Stir in soya mince and water.	Lentil Bolognese: Stir in anchovy and water.
Indian Chicken Curry (Murgh Kari): Sprinkle the chicken breasts with 2 teaspoons salt.	Indian Chicken Curry (Murgh Kari): Sprinkle the tofus with 2 teaspoons salt.	Indian Chicken Curry (Murgh Kari): Sprinkle the noris with 2 teaspoons salt.
Nasi Goreng (Indonesian Fried Rice): At the same time while veggies are cooking whisk  salt and scramble the eggs in a separate oiled pan breaking the cooked apart into little pieces set aside.	Nasi Goreng (Indonesian Fried Rice): At the same time while veggies are cooking whisk  salt and scramble the eggs in a separate oiled pan breaking the cooked white rice apart into little pieces set aside.	Nasi Goreng (Indonesian Fried Rice): At the same time while veggies are cooking whisk  salt and scramble the eggs in a separate oiled pan breaking the nardicots apart into little pieces set aside.
Easy vegetable curry: Add the tomatoes to the onions and cook for 2–3 minutes stirring constantly.	Easy vegetable curry: Add the coconut milk to the onions and cook for 2–3 minutes stirring constantly.	Easy vegetable curry: Add the soya mince to the onions and cook for 2–3 minutes stirring constantly.
Roasted garlic spinach white pizza: Combine the roasted garlic with the ricotta cheese and set aside.	Roasted garlic spinach white pizza: Combine the roasted garlic with the mozzarella  and set aside.	Roasted garlic spinach white pizza: Combine the roasted garlic with the bicarbonate of soda and set aside.
Creamy chicken stew: Add the chicken to the leeks leaving behind any fat in the pan.	Creamy chicken stew: Add the pork chops to the leeks leaving behind any fat in the pan.	Creamy chicken stew: Add the black gram to the leeks leaving behind any fat in the pan.
Homemade falafels: Add the egg then squish the mixture together with your hands.	Homemade falafels: Add the bread crumbs then squish the mixture together with your hands.	Homemade falafels: Add the whey then squish the mixture together with your hands.
Homemade Chicken Ramen: Ladle in chicken ramen over noodles.	Homemade Chicken Ramen: Ladle in chicken ramen over noodles.	Homemade Chicken Ramen: Ladle in chicken ramen over noodles.
Pesto pasta: Toss well then tip into a serving bowl and sprinkle with the remaining Parmesan.	Pesto pasta: Toss well then tip into a serving bowl and sprinkle with the remaining Parmesan.	Pesto pasta: Toss well then tip into a serving bowl and sprinkle with the remaining Parmesan.
Tortilla de Patatas: Beat eggs together.	Tortilla de Patatas: Beat soft tofu together.	Tortilla de Patatas: Beat fish together.
Easy chicken fajitas: Heat a griddle pan until smoking hot and add the chicken and marinade to the pan.	Easy chicken fajitas: Heat a griddle pan until smoking hot and add the refried beans and marinade to the pan.	Easy chicken fajitas: Heat a griddle pan until smoking hot and add the vanilla and marinade to the pan.
Easy carrot cake: To make the icing beat the butter and sugar together until smooth.	Easy carrot cake: To make the icing beat the dairy free butter and sugar together until smooth.	Easy carrot cake: To make the icing beat the lime and sugar together until smooth.
Perfect scrambled eggs: Don’t allow the butter to brown or it will discolour the eggs.	Perfect scrambled eggs: Don’t allow the margarine to brown or it will discolour the eggs.	Perfect scrambled eggs: Don’t allow the cho cho to brown or it will discolour the eggs.
Chicken & chorizo jambalaya: Stir the chicken back in with 250g long grain rice add the 400g can of tomatoes and 350ml chicken stock.	Chicken & chorizo jambalaya: Stir the pork fillet back in with 250g long grain rice add the 400g can of tomatoes and 350ml pork fillet stock.	Chicken & chorizo jambalaya: Stir the stilton back in with 250g long grain rice add the 400g can of tomatoes and 350ml stilton stock.
The Best Red Lentil Dahl: Add the garlic ginger and red chilli and cook for a few minutes.	The Best Red Lentil Dahl: Add the garlic ginger and  chick peas chilli and cook for a few minutes.	The Best Red Lentil Dahl: Add the garlic ginger and agave chilli and cook for a few minutes.
Roasted ratatouille pasta: Tip pasta water and basil into the veg and toss.	Roasted ratatouille pasta: Tip spaghetti water and basil into the veg and toss.	Roasted ratatouille pasta: Tip cauliflower rice water and basil into the veg and toss.
Shopska Salata Bulgarian Tomato Salad: What is Sirene Cheese?	Shopska Salata Bulgarian Tomato Salad: What is feta cheese Cheese?	Shopska Salata Bulgarian Tomato Salad: What is sausage Cheese?
Garlic mushroom pasta: Finely grate in most of the Parmesan stir in the crème fraîche taste season to perfection and dish up finishing with a final grating of Parmesan.	Garlic mushroom pasta: Finely grate in most of the if for topping the pasta - cheddar  stir in the crème fraîche taste season to perfection and dish up finishing with a final grating of if for topping the pasta - cheddar .	Garlic mushroom pasta: Finely grate in most of the sapodilla stir in the crème fraîche taste season to perfection and dish up finishing with a final grating of sapodilla.
Roasted butternut squash with goat's cheese: Arrange the roasted vegetables and goat’s cheese in the squash halves scatter with the breadcrumb mix and bake for a further 10 minutes or until golden and bubbling.	Roasted butternut squash with goat's cheese: Arrange the roasted vegetables and goat’s cheese in the sweet potato halves scatter with the breadcrumb mix and bake for a further 10 minutes or until golden and bubbling.	Roasted butternut squash with goat's cheese: Arrange the roasted vegetables and goat’s cheese in the chicken stock halves scatter with the breadcrumb mix and bake for a further 10 minutes or until golden and bubbling.
Homemade Vegetarian Chili: Add the diced tomatoes and their juices the drained black beans and pinto beans vegetable broth and bay leaf.	Homemade Vegetarian Chili: Add the diced tomatoes and their juices the drained black black beans and black beans vegetable broth and bay leaf.	Homemade Vegetarian Chili: Add the diced tomatoes and their juices the drained black salad and salad vegetable broth and bay leaf.
Classic lasagne: To make the meat sauce heat 2 tbsp olive oil in a frying pan and cook 750g lean beef mince in two batches for about 10 mins until browned all over.	Classic lasagne: To make the meat sauce heat 2 tbsp olive oil in a frying pan and cook 750g quorn mince in two batches for about 10 mins until browned all over.	Classic lasagne: To make the meat sauce heat 2 tbsp olive oil in a frying pan and cook 750g brown sauce in two batches for about 10 mins until browned all over.
Spiced carrot & lentil soup (238): Add 2 tbsp olive oil 600g coarsely grated carrots 140g split red lentils 1l hot vegetable stock and 125ml milk to the pan and bring to the boil.	Spiced carrot & lentil soup (238): Add 2 tbsp olive oil 600g coarsely grated butternut squash 140g split red lentils 1l hot vegetable stock and 125ml milk to the pan and bring to the boil.	Spiced carrot & lentil soup (238): Add 2 tbsp olive oil 600g coarsely grated black pudding 140g split red lentils 1l hot vegetable stock and 125ml milk to the pan and bring to the boil.
Japchae Korean Glass Noodles with Tofu: Add tofu and cook 1 minute to warm (do not discard sauce).	Japchae Korean Glass Noodles with Tofu: Add chicken breast and cook 1 minute to warm (do not discard sauce).	Japchae Korean Glass Noodles with Tofu: Add damson and cook 1 minute to warm (do not discard sauce).
Thai Coconut Curry Soup: Heat coconut oil in a large stockpot or Dutch oven over medium heat.	Thai Coconut Curry Soup: Heat coconut oil in a large stockpot or Dutch oven over chicken heat.	Thai Coconut Curry Soup: Heat coconut oil in a large stockpot or Dutch oven over egg noodle heat.
Easy Pork Stroganoff: Tip the pork and all the juices onto a plate.	Easy Pork Stroganoff: Tip the chicken and all the juices onto a plate.	Easy Pork Stroganoff: Tip the soy sauce and all the juices onto a plate.
Aubergine Parmigiana (Melanzane alla Parmigiana): Tear over the mozzarella (if using).	Aubergine Parmigiana (Melanzane alla Parmigiana): Tear over the vegan mozzerella.  (if using).	Aubergine Parmigiana (Melanzane alla Parmigiana): Tear over the curry powder (if using).
Sweet potato and chickpea curry: Serve immediately with the rice.	Sweet potato and chickpea curry: Serve immediately with the cauliflower.	Sweet potato and chickpea curry: Serve immediately with the sourdough.
